"","PMID","Title","Authors","Citation","First.Author","Journal.Book","Publication.Year","Create.Date","PMCID","NIHMS.ID","DOI"
"1147",37234426,"Exploration of anti-stress mechanisms in high temperature exposed juvenile golden cuttlefish (Sepia esculenta) based on transcriptome profiling","Wang Y, Bao X, Wang W, Xu X, Liu X, Li Z, Yang J, Yuan T.","Front Physiol. 2023 May 10;14:1189375. doi: 10.3389/fphys.2023.1189375. eCollection 2023.","Wang Y","Front Physiol",2023,"2023/05/26","PMC10206265","","10.3389/fphys.2023.1189375"
"1148",37426617,"A transcriptomic evaluation of the mechanism of programmed cell death of the replaceable bud in Chinese chestnut","Guo Y, Zhang S, Li Y, Zhang X, Liu H, Liu S, Liu J, Wang G.","Open Life Sci. 2023 Jul 7;18(1):20220635. doi: 10.1515/biol-2022-0635. eCollection 2023.","Guo Y","Open Life Sci",2023,"2023/07/10","PMC10329280","","10.1515/biol-2022-0635"
"1149",37362825,"Identification and Validation of Hub Immune-Related Genes in Non-Alcoholic Fatty Liver Disease","Li J, Kou C, Sun T, Liu J, Zhang H.","Int J Gen Med. 2023 Jun 19;16:2609-2621. doi: 10.2147/IJGM.S413545. eCollection 2023.","Li J","Int J Gen Med",2023,"2023/06/26","PMC10289249","","10.2147/IJGM.S413545"
"1150",37873510,"Bioinformatics Integrative Analysis of Circadian Rhythms Effects on Atopic Dermatitis and Dendritic Cells","Sun N, Dai D, Deng S, Cai X, Song P.","Clin Cosmet Investig Dermatol. 2023 Oct 18;16:2919-2930. doi: 10.2147/CCID.S424343. eCollection 2023.","Sun N","Clin Cosmet Investig Dermatol",2023,"2023/10/24","PMC10590565","","10.2147/CCID.S424343"
"1151",38137330,"Study on Potential Differentially Expressed Genes in Idiopathic Pulmonary Fibrosis by Bioinformatics and Next-Generation Sequencing Data Analysis","Giriyappagoudar M, Vastrad B, Horakeri R, Vastrad C.","Biomedicines. 2023 Nov 21;11(12):3109. doi: 10.3390/biomedicines11123109.","Giriyappagoudar M","Biomedicines",2023,"2023/12/23","PMC10740779","","10.3390/biomedicines11123109"
"1152",36829598,"Transcriptomic and Metabolomic Studies Reveal That Toll-like Receptor 2 Has a Role in Glucose-Related Metabolism in Unchallenged Zebrafish Larvae (Danio rerio)","Hu W, Liu L, Forn-Cuní G, Ding Y, Alia A, Spaink HP.","Biology (Basel). 2023 Feb 16;12(2):323. doi: 10.3390/biology12020323.","Hu W","Biology (Basel)",2023,"2023/02/25","PMC9952914","","10.3390/biology12020323"
"1153",38189398,"[Expression of interleukin-34 in tongue squamous cell carcinoma and its clinical implications]","Zhang W, Zou Z, Zhu Y, Wang M, Ma C, Wu J, Shi X, Liu X.","Nan Fang Yi Ke Da Xue Xue Bao. 2023 Dec 20;43(12):2111-2117. doi: 10.12122/j.issn.1673-4254.2023.12.16.","Zhang W","Nan Fang Yi Ke Da Xue Xue Bao",2023,"2024/01/08","PMC10774107","","10.12122/j.issn.1673-4254.2023.12.16"
"1154",37422588,"Potential diagnostic biomarkers: 6 cuproptosis- and ferroptosis-related genes linking immune infiltration in acute myocardial infarction","Miao M, Cao S, Tian Y, Liu D, Chen L, Chai Q, Wei M, Sun S, Wang L, Xin S, Liu G, Zheng M.","Genes Immun. 2023 Aug;24(4):159-170. doi: 10.1038/s41435-023-00209-8. Epub 2023 Jul 8.","Miao M","Genes Immun",2023,"2023/07/08","PMC10435388","","10.1038/s41435-023-00209-8"
"1155",36931175,"Identifying autophagy-related genes as potential targets for immunotherapy in tuberculosis","Xiao S, Zhou T, Pan J, Ma X, Shi G, Jiang B, Xiang YG.","Int Immunopharmacol. 2023 May;118:109956. doi: 10.1016/j.intimp.2023.109956. Epub 2023 Mar 15.","Xiao S","Int Immunopharmacol",2023,"2023/03/17","","","10.1016/j.intimp.2023.109956"
"1156",37140276,"Identification of key genes and molecular pathways in type 2 diabetes mellitus and polycystic ovary syndrome via bioinformatics analyses","Zhang J, Zhang FJ, Zhang L, Xian DX, Wang SA, Peng M, Liu Y.","Eur Rev Med Pharmacol Sci. 2023 Apr;27(8):3255-3269. doi: 10.26355/eurrev_202304_32097.","Zhang J","Eur Rev Med Pharmacol Sci",2023,"2023/05/04","","","10.26355/eurrev_202304_32097"
"1157",37657045,"Comprehensive pan-cancer analysis of expression profiles and prognostic significance for NUMB and NUMBL in human tumors","Zhang Y, Yang H, Liu W, Song Q, Li Y, Zhang J, Zhou D, Li A.","Medicine (Baltimore). 2023 Sep 1;102(35):e34717. doi: 10.1097/MD.0000000000034717.","Zhang Y","Medicine (Baltimore)",2023,"2023/09/01","PMC10476719","","10.1097/MD.0000000000034717"
"1158",37438674,"Therapeutic efficacy of coriander (Coriandrum sativum) enriched diets in Oreochromis niloticus: effect on hepatic-renal functions, the antioxidant-immune response and resistance to Aeromonas veronii","Said AA, Reda RM, Metwally MMM, Abd El-Hady HM.","Fish Physiol Biochem. 2023 Aug;49(4):687-709. doi: 10.1007/s10695-023-01220-6. Epub 2023 Jul 13.","Said AA","Fish Physiol Biochem",2023,"2023/07/12","PMC10415512","","10.1007/s10695-023-01220-6"
"1159",38026525,"Functionalized Cerium Dioxide Nanoparticles with Antioxidative Neuroprotection for Alzheimer's Disease","Hu Y, Guo H, Cheng S, Sun J, Du J, Liu X, Xiong Y, Chen L, Liu C, Wu C, Tian H.","Int J Nanomedicine. 2023 Nov 16;18:6797-6812. doi: 10.2147/IJN.S434873. eCollection 2023.","Hu Y","Int J Nanomedicine",2023,"2023/11/29","PMC10658952","","10.2147/IJN.S434873"
"1160",37318461,"Identification of hub genes correlated with diabetic retinopathy via bioinformatics methods","Xiong JH, Chen JL, Liang JY, Zhang FF, Cheng SM.","Eur Rev Med Pharmacol Sci. 2023 Jun;27(11):4876-4882. doi: 10.26355/eurrev_202306_32604.","Xiong JH","Eur Rev Med Pharmacol Sci",2023,"2023/06/15","","","10.26355/eurrev_202306_32604"
"1161",38017469,"Identifying prognostic characteristics of m6A-related glycolysis gene and predicting the immune infiltration landscape in bladder cancer","Zhou G, Li Y, Ren X, Qin G, Zhang Z, Zhao H, Gao L, Jiang X.","Cancer Cell Int. 2023 Nov 28;23(1):300. doi: 10.1186/s12935-023-03160-w.","Zhou G","Cancer Cell Int",2023,"2023/11/29","PMC10683108","","10.1186/s12935-023-03160-w"
"1162",36125095,"TGF-β1 regulates the lncRNA transcriptome of ovarian granulosa cells in a transcription activity-dependent manner","Li Q, Huo Y, Wang S, Yang L, Li Q, Du X.","Cell Prolif. 2023 Jan;56(1):e13336. doi: 10.1111/cpr.13336. Epub 2022 Sep 20.","Li Q","Cell Prolif",2023,"2022/09/20","PMC9816938","","10.1111/cpr.13336"
"1163",36775978,"Transcriptome analysis of the phosphate starvation response sheds light on strigolactone biosynthesis in rice","Haider I, Yunmeng Z, White F, Li C, Incitti R, Alam I, Gojobori T, Ruyter-Spira C, Al-Babili S, Bouwmeester HJ.","Plant J. 2023 Apr;114(2):355-370. doi: 10.1111/tpj.16140. Epub 2023 Feb 28.","Haider I","Plant J",2023,"2023/02/13","","","10.1111/tpj.16140"
"1164",37904108,"Roastgsa: a comparison of rotation-based scores for gene set enrichment analysis","Caballé-Mestres A, Berenguer-Llergo A, Stephan-Otto Attolini C.","BMC Bioinformatics. 2023 Oct 30;24(1):408. doi: 10.1186/s12859-023-05510-x.","Caballé-Mestres A","BMC Bioinformatics",2023,"2023/10/31","PMC10617084","","10.1186/s12859-023-05510-x"
"1165",37759342,"Clustering rare diseases within an ontology-enriched knowledge graph","Sanjak J, Binder J, Yadaw AS, Zhu Q, Mathé EA.","J Am Med Inform Assoc. 2023 Dec 22;31(1):154-164. doi: 10.1093/jamia/ocad186.","Sanjak J","J Am Med Inform Assoc",2023,"2023/09/27","PMC10746319","","10.1093/jamia/ocad186"
"1166",37774498,"Quantitative trait locus mapping of osmotic stress response in the fungal wheat pathogen Zymoseptoria tritici","Stapley J, McDonald BA.","G3 (Bethesda). 2023 Dec 6;13(12):jkad226. doi: 10.1093/g3journal/jkad226.","Stapley J","G3 (Bethesda)",2023,"2023/09/29","PMC10700024","","10.1093/g3journal/jkad226"
"1167",37537636,"Integrated bioinformatics analysis elucidates granulosa cell whole-transcriptome landscape of PCOS in China","Li Q, Sang Y, Chen Q, Ye B, Zhou X, Zhu Y.","J Ovarian Res. 2023 Aug 3;16(1):154. doi: 10.1186/s13048-023-01223-0.","Li Q","J Ovarian Res",2023,"2023/08/03","PMC10398987","","10.1186/s13048-023-01223-0"
"1168",37761933,"The Conserved Chromatin Remodeler SMARCAD1 Interacts with TFIIIC and Architectural Proteins in Human and Mouse","Sachs P, Bergmaier P, Treutwein K, Mermoud JE.","Genes (Basel). 2023 Sep 13;14(9):1793. doi: 10.3390/genes14091793.","Sachs P","Genes (Basel)",2023,"2023/09/28","PMC10530723","","10.3390/genes14091793"
"1169",37049836,"Physicochemical and Sensory Parameters of ""Petipan"" Enriched with Heme Iron and Andean Grain Flours","Jamanca-Gonzales NC, Ocrospoma-Dueñas RW, Quintana-Salazar NB, Jimenez-Bustamante JN, Huaman EEH, Silva-Paz RJ.","Molecules. 2023 Mar 30;28(7):3073. doi: 10.3390/molecules28073073.","Jamanca-Gonzales NC","Molecules",2023,"2023/04/13","PMC10096033","","10.3390/molecules28073073"
"1170",38049825,"Development of a prognostic model to predict BLCA based on anoikis-related gene signature: preliminary findings","Zhu S, Zhao Q, Fan Y, Tang C.","BMC Urol. 2023 Dec 4;23(1):199. doi: 10.1186/s12894-023-01382-8.","Zhu S","BMC Urol",2023,"2023/12/04","PMC10694890","","10.1186/s12894-023-01382-8"
"1171",36902227,"Pan-Cancer Analysis Reveals Functional Similarity of Three lncRNAs across Multiple Tumors","Khazaal A, Zandavi SM, Smolnikov A, Fatima S, Vafaee F.","Int J Mol Sci. 2023 Mar 1;24(5):4796. doi: 10.3390/ijms24054796.","Khazaal A","Int J Mol Sci",2023,"2023/03/11","PMC10003012","","10.3390/ijms24054796"
"1172",37563710,"Identification of potential DNA methylation biomarkers related to diagnosis in patients with bladder cancer through integrated bioinformatic analysis","Cheng H, Liu Y, Chen G.","BMC Urol. 2023 Aug 10;23(1):135. doi: 10.1186/s12894-023-01307-5.","Cheng H","BMC Urol",2023,"2023/08/10","PMC10413619","","10.1186/s12894-023-01307-5"
"1173",37605275,"Substrate topographies modulate the secretory activity of human bone marrow mesenchymal stem cells","Rosado-Galindo H, Domenech M.","Stem Cell Res Ther. 2023 Aug 21;14(1):208. doi: 10.1186/s13287-023-03450-0.","Rosado-Galindo H","Stem Cell Res Ther",2023,"2023/08/22","PMC10441765","","10.1186/s13287-023-03450-0"
"1174",37601681,"Taxonomic and functional profiling of fecal metagenomes for the early detection of colorectal cancer","Wu X, Tang Z, Zhao R, Wang Y, Wang X, Liu S, Zou H.","Front Oncol. 2023 Aug 3;13:1218056. doi: 10.3389/fonc.2023.1218056. eCollection 2023.","Wu X","Front Oncol",2023,"2023/08/21","PMC10436198","","10.3389/fonc.2023.1218056"
"1175",38084940,"Genetic difference between two Schistosoma japonicum isolates with contrasting cercarial shedding patterns revealed by whole genome sequencing","Sun HY, Zhang JY, Zhang HX, Xu Q, Lu DB.","Parasite. 2023;30:59. doi: 10.1051/parasite/2023061. Epub 2023 Dec 12.","Sun HY","Parasite",2023,"2023/12/12","PMC10714679","","10.1051/parasite/2023061"
"1176",36685826,"Experimental verification and comprehensive analysis of m7G methylation regulators in the subcluster classification of ischemic stroke","Tian Y, Yu B, Lv B, Zhang Y, Fu L, Yang S, Li J, Gong S.","Front Genet. 2023 Jan 4;13:1036345. doi: 10.3389/fgene.2022.1036345. eCollection 2022.","Tian Y","Front Genet",2023,"2023/01/23","PMC9845407","","10.3389/fgene.2022.1036345"
"1177",37756065,"A Single-Cell Atlas of an Early Mongolian Sheep Embryo","He T, Guo W, Yang G, Su H, Dou A, Chen L, Ma T, Su J, Liu M, Su B, Qi W, Li H, Mao W, Wang X, Li X, Yang Y, Song Y, Cao G.","Vet Sci. 2023 Aug 28;10(9):543. doi: 10.3390/vetsci10090543.","He T","Vet Sci",2023,"2023/09/27","PMC10536297","","10.3390/vetsci10090543"
"1178",36911124,"Co-expression network of mRNA and DNA methylation in first-episode and drug-naive adolescents with major depressive disorder","Tao Y, Zhang H, Jin M, Xu H, Zou S, Deng F, Huang L, Zhang H, Wang X, Tang X, Dong Z, Wang Y, Yin L.","Front Psychiatry. 2023 Feb 23;14:1065417. doi: 10.3389/fpsyt.2023.1065417. eCollection 2023.","Tao Y","Front Psychiatry",2023,"2023/03/13","PMC9995926","","10.3389/fpsyt.2023.1065417"
"1179",37686137,"CRISPR-Cas9-Mediated Cytosine Base Editing Screen for the Functional Assessment of CALR Intron Variants in Japanese Encephalitis Virus Replication","Xiong Y, Xi X, Xiang Y, Li S, Liu H, Su Y, He R, Xiong C, Xu B, Wang X, Fu L, Zhao C, Han X, Li X, Xie S, Ruan J.","Int J Mol Sci. 2023 Aug 28;24(17):13331. doi: 10.3390/ijms241713331.","Xiong Y","Int J Mol Sci",2023,"2023/09/09","PMC10487596","","10.3390/ijms241713331"
"1180",37063174,"Integrated transcriptome and metabolome analysis revealed that flavonoids enhanced the resistance of Oryza sativa against Meloidogyne graminicola","Zhang L, Li S, Shan C, Liu Y, Zhang Y, Ye L, Lin Y, Xiong G, Ma J, Adnan M, Shi X, Sun X, Kuang W, Cui R.","Front Plant Sci. 2023 Mar 31;14:1137299. doi: 10.3389/fpls.2023.1137299. eCollection 2023.","Zhang L","Front Plant Sci",2023,"2023/04/17","PMC10102519","","10.3389/fpls.2023.1137299"
"1181",37549905,"Omega-3 meat enrichment and L-FABP, PPARA, and LPL genes expression are modified by the level and period of tuna oil supplementation in slow-growing chickens","Khosinklang W, Kubota S, Riou C, Kaewsatuan P, Molee A, Molee W.","J Anim Sci. 2023 Jan 3;101:skad267. doi: 10.1093/jas/skad267.","Khosinklang W","J Anim Sci",2023,"2023/08/07","PMC10563153","","10.1093/jas/skad267"
"1182",37926706,"m(6)A modification of AC026356.1 facilitates hepatocellular carcinoma progression by regulating the IGF2BP1-IL11 axis","Wei H, Yang J, Lu R, Huang Y, Huang Z, Huang L, Zeng M, Wei Y, Xu Z, Li W, Pu J.","Sci Rep. 2023 Nov 5;13(1):19124. doi: 10.1038/s41598-023-45449-w.","Wei H","Sci Rep",2023,"2023/11/05","PMC10625930","","10.1038/s41598-023-45449-w"
"1183",36816024,"Genome-wide identification, evolution and expression analysis of bone morphogenetic protein (BMP) gene family in chinese soft-shell turtle (Pelodiscus sinensis)","Lei L, Zhu J, Chen C, Wang Y, Wu C, Qi M, Wang Y, Liu X, Hong X, Yu L, Chen H, Wei C, Liu Y, Li W, Zhu X.","Front Genet. 2023 Feb 1;14:1109478. doi: 10.3389/fgene.2023.1109478. eCollection 2023.","Lei L","Front Genet",2023,"2023/02/23","PMC9928969","","10.3389/fgene.2023.1109478"
"1184",38196574,"Sex differences in mitochondrial gene expression during viral myocarditis","Di Florio D, Gorelov D, McCabe E, Beetler D, Shapiro K, Bruno K, Chekuri I, Jain A, Whelan E, Salomon G, Khatib S, Bonvie-Hill N, Giresi P, Balamurugan V, Weigel G, Fliess J, Darakjian A, Edenfield B, Kocsis C, McLeod C, Cooper L, Audet-Walsh E, Coronado M, Sin J, Fairweather D.","Res Sq [Preprint]. 2023 Dec 19:rs.3.rs-3716881. doi: 10.21203/rs.3.rs-3716881/v1.","Di Florio D","Res Sq",2023,"2024/01/10","PMC10775395","","10.21203/rs.3.rs-3716881/v1"
"1185",36819543,"Screening and identification of susceptibility genes for osteosarcoma based on bioinformatics analysis","Lu Z, Xu J, Cao B, Jin C.","Ann Transl Med. 2023 Jan 31;11(2):87. doi: 10.21037/atm-22-6369.","Lu Z","Ann Transl Med",2023,"2023/02/23","PMC9929789","","10.21037/atm-22-6369"
"1186",39022129,"PDCD2 as a prognostic biomarker in glioma correlates with malignant phenotype","Dai F, Yuan Y, Hao J, Cheng X, Zhou X, Zhou L, Tian R, Zhao Y, Xiang T.","Genes Dis. 2023 Sep 21;11(5):101106. doi: 10.1016/j.gendis.2023.101106. eCollection 2024 Sep.","Dai F","Genes Dis",2023,"2024/07/18","PMC11252777","","10.1016/j.gendis.2023.101106"
"1187",37293973,"Comparative transcriptomic analysis reveals the underlying molecular mechanism in high-fat diet-induced islet dysfunction","Wan S, An Y, Fan W, Teng F, Jiang Z.","Biosci Rep. 2023 Jul 26;43(7):BSR20230501. doi: 10.1042/BSR20230501.","Wan S","Biosci Rep",2023,"2023/06/09","PMC10326186","","10.1042/BSR20230501"
"1188",38058427,"Comprehensive analysis of cuproptosis-associated LncRNAs predictive value and related CeRNA network in acute myeloid leukemia","Cao C, Wang T, Luo Y, Zhang Y, Dai YY, Shen Y.","Heliyon. 2023 Nov 25;9(12):e22532. doi: 10.1016/j.heliyon.2023.e22532. eCollection 2023 Dec.","Cao C","Heliyon",2023,"2023/12/07","PMC10696213","","10.1016/j.heliyon.2023.e22532"
"1189",37519716,"Gene co-expression network identifies critical genes, pathways and regulatory motifs mediating the progression of rift valley fever in Bostaurus","Gitau JK, Macharia RW, Mwangi KW, Ongeso N, Murungi E.","Heliyon. 2023 Jul 14;9(7):e18175. doi: 10.1016/j.heliyon.2023.e18175. eCollection 2023 Jul.","Gitau JK","Heliyon",2023,"2023/07/31","PMC10375796","","10.1016/j.heliyon.2023.e18175"
"1190",37974557,"Impact of light on task-evoked pupil responses during cognitive tasks","Campbell I, Beckers E, Sharifpour R, Berger A, Paparella I, Aizpurua JFB, Koshmanova E, Mortazavi N, Sherif S, Vandewalle G.","J Sleep Res. 2024 Aug;33(4):e14101. doi: 10.1111/jsr.14101. Epub 2023 Nov 16.","Campbell I","J Sleep Res",2024,"2023/11/17","","","10.1111/jsr.14101"
"1191",37563567,"Integrated analysis of mRNAs and lncRNAs reveals candidate marker genes and potential hub lncRNAs associated with growth regulation of the Pacific Oyster, Crassostrea gigas","Li Y, Yang B, Shi C, Tan Y, Ren L, Mokrani A, Li Q, Liu S.","BMC Genomics. 2023 Aug 10;24(1):453. doi: 10.1186/s12864-023-09543-7.","Li Y","BMC Genomics",2023,"2023/08/10","PMC10416452","","10.1186/s12864-023-09543-7"
"1192",37120872,"Carcass composition, meat quality, leg muscle status, and its mRNA expression profile in broilers affected by valgus-varus deformity","Cai C, Zhang L, Liu X, Li J, Ma Y, Jiang R, Li Z, Li G, Tian Y, Kang X, Han R.","Poult Sci. 2023 Jul;102(7):102682. doi: 10.1016/j.psj.2023.102682. Epub 2023 Apr 5.","Cai C","Poult Sci",2023,"2023/04/30","PMC10172705","","10.1016/j.psj.2023.102682"
"1193",37732314,"Identification and validation of novel biomarkers associated with immune infiltration for the diagnosis of osteosarcoma based on machine learning","Ji Y, Lin Z, Li G, Tian X, Wu Y, Wan J, Liu T, Xu M.","Front Genet. 2023 Sep 4;14:1136783. doi: 10.3389/fgene.2023.1136783. eCollection 2023.","Ji Y","Front Genet",2023,"2023/09/21","PMC10507254","","10.3389/fgene.2023.1136783"
"1194",37763801,"The Prognostic and Therapeutic Role of Histone Acetylation Modification in LIHC Development and Progression","Gao J, Han S, Gu J, Wu C, Mu X.","Medicina (Kaunas). 2023 Sep 18;59(9):1682. doi: 10.3390/medicina59091682.","Gao J","Medicina (Kaunas)",2023,"2023/09/28","PMC10536947","","10.3390/medicina59091682"
"1195",37275608,"Oral administration of Pinus koraiensis cone essential oil reduces rumen methane emission by altering the rumen microbial composition and functions in Korean native goat (Capra hircus coreanae)","Choi Y, Lee SJ, Kim HS, Eom JS, Jo SU, Guan LL, Seo J, Park T, Lee Y, Lee SS, Lee SS.","Front Vet Sci. 2023 May 18;10:1168237. doi: 10.3389/fvets.2023.1168237. eCollection 2023.","Choi Y","Front Vet Sci",2023,"2023/06/05","PMC10234127","","10.3389/fvets.2023.1168237"
"1196",36937266,"An integrated transcriptome and microbial community analysis reveals potential mechanisms for increased immune responses when replacing silybum marianum meal with soybean meal in growing lambs","Zhang T, Ren Y, Yang C, Gebeyew K, Gao M, He Z, Tan Z.","Front Microbiol. 2023 Mar 2;14:1093129. doi: 10.3389/fmicb.2023.1093129. eCollection 2023.","Zhang T","Front Microbiol",2023,"2023/03/20","PMC10018209","","10.3389/fmicb.2023.1093129"
"1197",37849806,"Development and clinical validation of a microfluidic-based platform for CTC enrichment and downstream molecular analysis","Cai S, Deng Y, Wang Z, Zhu J, Huang C, Du L, Wang C, Yu X, Liu W, Yang C, Wang Z, Wang L, Ma K, Huang R, Zhou X, Zou H, Zhang W, Huang Y, Li Z, Qin T, Xu T, Guo X, Yu Z.","Front Oncol. 2023 Oct 2;13:1238332. doi: 10.3389/fonc.2023.1238332. eCollection 2023.","Cai S","Front Oncol",2023,"2023/10/18","PMC10578963","","10.3389/fonc.2023.1238332"
"1198",37274780,"Identification of DLL3-related genes affecting the prognosis of patients with colon adenocarcinoma","Xiang J, Gong W, Liu J, Zhang H, Li M, Wang R, Lv Y, Sun P.","Front Genet. 2023 May 18;14:1098190. doi: 10.3389/fgene.2023.1098190. eCollection 2023.","Xiang J","Front Genet",2023,"2023/06/05","PMC10233108","","10.3389/fgene.2023.1098190"
"1199",37854190,"Specific genetic aberrations of parathyroid in Chinese patients with tertiary hyperparathyroidism using whole-exome sequencing","Li L, Sheng Q, Zeng H, Li W, Wang Q, Ma G, Xu X, Qiu M, Zhang W, Shan C.","Front Endocrinol (Lausanne). 2023 Oct 3;14:1221060. doi: 10.3389/fendo.2023.1221060. eCollection 2023.","Li L","Front Endocrinol (Lausanne)",2023,"2023/10/19","PMC10579901","","10.3389/fendo.2023.1221060"
"1200",37683822,"Optimisation of SARS-CoV-2 peptide stimulation and measurement of cytokine output by intracellular flow cytometry and bio-plex analysis","Taylor JV, Callery EL, Rowbottom A.","J Immunol Methods. 2023 Nov;522:113556. doi: 10.1016/j.jim.2023.113556. Epub 2023 Sep 6.","Taylor JV","J Immunol Methods",2023,"2023/09/08","","","10.1016/j.jim.2023.113556"
"1201",37509716,"CD44 Is Associated with Poor Prognosis of ccRCC and Facilitates ccRCC Cell Migration and Invasion through HAS1/MMP9","Du T, Wu Z, Wu Y, Liu Y, Song Y, Ma L.","Biomedicines. 2023 Jul 24;11(7):2077. doi: 10.3390/biomedicines11072077.","Du T","Biomedicines",2023,"2023/07/29","PMC10377257","","10.3390/biomedicines11072077"
"1202",37560386,"Whole genome doubling-induced the enrichment of H3K27me3 in genes carrying specific TEs in Aegilops tauschii","Guo H, Zhang G, Zhou M, Wan M, Zhu B, Yang Z, Zeng D, Zeng Z.","Front Genet. 2023 Jul 25;14:1241201. doi: 10.3389/fgene.2023.1241201. eCollection 2023.","Guo H","Front Genet",2023,"2023/08/10","PMC10407559","","10.3389/fgene.2023.1241201"
"1203",37792996,"Microanalytical Mass Spectrometry with Super-Resolution Microscopy Reveals a Proteome Transition During Development of the Brain's Circadian Pacemaker","Choi SB, Vatan T, Alexander TA, Zhang C, Mitchell SM, Speer CM, Nemes P.","Anal Chem. 2023 Oct 17;95(41):15208-15216. doi: 10.1021/acs.analchem.3c01987. Epub 2023 Oct 4.","Choi SB","Anal Chem",2023,"2023/10/04","PMC10728713","NIHMS1942786","10.1021/acs.analchem.3c01987"
"1204",38064475,"Quantitative proteomics and metabolomics analysis reveals the response mechanism of alfalfa (Medicago sativa L.) to o-coumaric acid stress","Xu X, Geng F, Sun W.","PLoS One. 2023 Dec 8;18(12):e0295592. doi: 10.1371/journal.pone.0295592. eCollection 2023.","Xu X","PLoS One",2023,"2023/12/08","PMC10707586","","10.1371/journal.pone.0295592"
"1205",36774490,"TAP1, a potential immune-related prognosis biomarker with functional significance in uveal melanoma","Zhu R, Chen YT, Wang BW, You YY, Wang XH, Xie HT, Jiang FG, Zhang MC.","BMC Cancer. 2023 Feb 11;23(1):146. doi: 10.1186/s12885-023-10527-9.","Zhu R","BMC Cancer",2023,"2023/02/11","PMC9921415","","10.1186/s12885-023-10527-9"
"1206",36968589,"Identification of mitochondria-related key gene and association with immune cells infiltration in intervertebral disc degeneration","Guo W, Mu K, Li WS, Gao SX, Wang LF, Li XM, Zhao JY.","Front Genet. 2023 Mar 8;14:1135767. doi: 10.3389/fgene.2023.1135767. eCollection 2023.","Guo W","Front Genet",2023,"2023/03/27","PMC10030706","","10.3389/fgene.2023.1135767"
"1207",37168511,"Overview of distinct 5-methylcytosine profiles of messenger RNA in normal and knock-down NSUN2 colorectal cancer cells","Lin Y, Zhao Z, Nie W, Huang M, Cai J, Wang Y, Wang H, Huang Y, Bai Y.","Front Genet. 2023 Apr 24;14:1121063. doi: 10.3389/fgene.2023.1121063. eCollection 2023.","Lin Y","Front Genet",2023,"2023/05/11","PMC10166136","","10.3389/fgene.2023.1121063"
"1208",36939340,"Protein Expression Profiles in Exosomes of Bovine Mammary Epithelial Cell Line MAC-T Infected with Staphylococcus aureus","Zhu XY, Wang ML, Cai M, Nan XM, Zhao YG, Xiong BH, Yang L.","Appl Environ Microbiol. 2023 Apr 26;89(4):e0174322. doi: 10.1128/aem.01743-22. Epub 2023 Mar 20.","Zhu XY","Appl Environ Microbiol",2023,"2023/03/20","PMC10132110","","10.1128/aem.01743-22"
"1209",37284034,"The Role of RNA Methylation Modification Related Genes in Prognosis and Immunotherapy of Colorectal Cancer","Lin R, Chen R, Ye L, Huang Z, Lin X, Chen T.","Int J Gen Med. 2023 May 31;16:2133-2147. doi: 10.2147/IJGM.S405419. eCollection 2023.","Lin R","Int J Gen Med",2023,"2023/06/07","PMC10239628","","10.2147/IJGM.S405419"
"1210",37175828,"Combined Transcriptome and Metabolome Analysis of Smooth Muscle of Myostatin Knockout Cattle","Gu M, Wang S, Di A, Wu D, Hai C, Liu X, Bai C, Su G, Yang L, Li G.","Int J Mol Sci. 2023 May 1;24(9):8120. doi: 10.3390/ijms24098120.","Gu M","Int J Mol Sci",2023,"2023/05/13","PMC10178895","","10.3390/ijms24098120"
"1211",37759202,"Defining super-enhancers by highly ranked histone H4 multi-acetylation levels identifies transcription factors associated with glioblastoma stem-like properties","Das ND, Chang JC, Hon CC, Kelly ST, Ito S, Lizio M, Kaczkowski B, Watanabe H, Katsushima K, Natsume A, Koseki H, Kondo Y, Minoda A, Umehara T.","BMC Genomics. 2023 Sep 27;24(1):574. doi: 10.1186/s12864-023-09659-w.","Das ND","BMC Genomics",2023,"2023/09/27","PMC10523799","","10.1186/s12864-023-09659-w"
"1212",36699456,"Low expression of NR1H3 correlates with macrophage infiltration and indicates worse survival in breast cancer","Zhang J, Zhang J, Zhao W, Li Q, Cheng W.","Front Genet. 2023 Jan 9;13:1067826. doi: 10.3389/fgene.2022.1067826. eCollection 2022.","Zhang J","Front Genet",2023,"2023/01/26","PMC9868774","","10.3389/fgene.2022.1067826"
"1213",38065846,"Transcriptomic analysis of mRNAs in human whole blood identified age-specific changes in healthy individuals","Zhang Y, Liu C.","Medicine (Baltimore). 2023 Dec 8;102(49):e36486. doi: 10.1097/MD.0000000000036486.","Zhang Y","Medicine (Baltimore)",2023,"2023/12/08","PMC10713173","","10.1097/MD.0000000000036486"
"1214",36959946,"Temporal transcriptome analysis reveals several key pathways involve in cadmium stress response in Nicotiana tabacum L","Li C, Hong Y, Sun J, Wang G, Zhou H, Xu L, Wang L, Xu G.","Front Plant Sci. 2023 Mar 7;14:1143349. doi: 10.3389/fpls.2023.1143349. eCollection 2023.","Li C","Front Plant Sci",2023,"2023/03/24","PMC10027936","","10.3389/fpls.2023.1143349"
