"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"4407","GO:0048799","animal organ maturation",33,11,10.67,4749,0.5139,0.51597,"Actn3,Ano6,Ebp,Enpp1,Gata3,Ift80,Mbtps2,Rflnb,Snx10,Thbs3,Xylt1"
"4408","GO:0045738","negative regulation of DNA repair",33,11,10.67,4750,0.5139,0.51597,"Aunip,Cyren,Hsf1,Kmt5a,Otub1,Parpbp,Rif1,Rps3,Smchd1,Trp53bp1,Ubqln4"
"4409","GO:0034138","toll-like receptor 3 signaling pathway",33,11,10.67,4751,0.5139,0.51597,"Cd86,Havcr2,Oas1a,Oas1g,Ptpn22,Src,Ticam1,Tirap,Tnfaip3,Unc93b1,Wdfy1"
"4410","GO:0042745","circadian sleep/wake cycle",33,11,10.67,4752,0.5139,0.51597,"Ada,Adora2a,Ahcy,Ahcyl,Casp1,Drd3,Il6,Kcna2,Per3,Ptger3,Ptger4"
"4411","GO:0062125","regulation of mitochondrial gene expression",33,11,10.67,4753,0.5139,0.51597,"Chchd10,Coa3,Lrpprc,Mettl8,Mtg1,Prkaa1,Rmnd1,Shmt2,Sirt3,Thap11,Uqcc2"
"4412","GO:0048870","cell motility",1658,606,535.96,582,0.51391,7.6e-05,"Abcc1,Abhd2,Abhd6,Abi2,Abi3,Abr,Acp5,Actg1,Actn4,Actr3,Acvr1,Acvr1b,Acvr1c,Acvrl1,Ada,Adam10,Adam15,Adam17,Adam8,Adam9,Adgrg1,Adipor1,Adipor2,Afdn,Ager,Ago2,Aif1,Akirin1,Akt1,Akt2,Aldoa,Amotl1,Ang,Angpt2,Anln,Ano6,Anxa1,Anxa5,Apbb1,Apbb2,Apc,Appl2,Arc,Arf4,Arf6,Arhgap18,Arhgap35,Arhgap4,Arhgef16,Arhgef39,Arhgef5,Arhgef7,Armc2,Armc3,Arpc2,Arpc5,Arrb2,Arsb,Asb2,Aspm,Atm,Atp2b4,Atp5f1b,Atp7a,AU040320,Auts2,Axl,Bax,Bcar1,Bcl11b,Bcl2,Bcr,Bex6,Bin2,Bin3,Bmp7,Bmpr1a,Bmpr2,Braf,Brms1,Bsg,Calr,Camk1d,Camk2a,Camk2b,Camk2d,Carmil1,Carmil3,Casp8,Cass4,Catsperd,Ccdc125,Ccdc38,Ccl17,Ccl20,Ccl4,Ccl5,Ccl6,Ccl9,Ccn2,Ccn4,Ccr1,Ccr10,Ccr2,Ccr3,Ccr4,Ccr5,Ccr6,Ccr7,Ccr8,Ccr9,Ccrl2,Cd151,Cd177,Cd200r1,Cd2ap,Cd44,Cd47,Cd74,Cd81,Cd9,Cd99l2,Cdc42,Cdc42bpa,Cdh2,Cdk5,Cdkn1b,Celf3,Celsr1,Cend1,Cenpv,Cep43,Cep85,Cep85l,Cers2,Cfap43,Chst2,Cib1,Cited2,Cln3,Cnr2,Col18a1,Col1a1,Coro1a,Coro1b,Cripto,Crtam,Csf1,Csnk2b,Ctnna1,Ctsh,Cttn,Cx3cr1,Cxcl10,Cxcl13,Cxcl17,Cxcl2,Cxcl3,Cxcr3,Cxcr4,Cxcr5,Cxcr6,Dab2ip,Dag1,Dapk3,Depdc1b,Diaph1,Dlg5,Dnaaf4,Dnah10,Dnah11,Dnah17,Dnah7a,Dnah7c,Dnah8,Dnaja4,Dnajb13,Dnhd1,Dock2,Dock4,Dock8,Dpcd,Dpp4,Drc1,Dst,Dstn,Dusp1,Dusp10,Dusp3,Dzip1,Ecm1,Ednrb,Egr1,Egr3,Elmo1,Elmo2,Elmo3,Elp5,Emilin1,Eng,Enkur,Enpp1,Enpp2,Eomes,Epb41l5,Epcam,Eps8,Errfi1,Ets1,Evl,F2r,Fam110c,Fam83d,Fas,Fbxo31,Fbxo5,Fer,Fgf16,Fgr,Fmnl1,Fndc3b,Foxp1,Frmd5,Fubp1,Furin,Fut7,Fut8,Fuz,Fyn,Gas8,Gata3,Gcnt1,Gfra1,Gja1,Gna12,Gnai2,Golph3,Gpld1,Gpr15,Gpr18,Gpr183,Gpr35,Gpsm3,Gpx1,Grb7,Grn,Gsk3b,Gstp1,Gstp2,Gtpbp4,Hbegf,Hdac1,Hdac6,Hdac7,Hgf,Hif1a,Hmgb1,Hmgb2,Hras,Hsd3b7,Hspa5,Hspb1,Icam1,Ift46,Ift81,Igf1r,Igsf8,Il17ra,Il18,Il1rn,Il6st,Ilk,Ing2,Inpp5b,Inpp5f,Insl3,Insl6,Iqgap1,Irak4,Irs2,Itga1,Itga2,Itga3,Itga4,Itga5,Itga6,Itgal,Itgam,Itgav,Itgb1,Itgb1bp1,Itgb3,Itgb5,Itgb8,Jag1,Jak2,Jaml,Jcad,Jun,Jup,Kcnn4,Kif14,Kif20b,Kit,Kitl,Knstrn,L1cam,Lama3,Lamc1,Lamc2,Lbp,Lcp1,Ldlrad4,Lef1,Lemd3,Lgals3,Lgmn,Lima1,Limd1,Lmna,Lmo4,Lpxn,Lrp1,Lrp12,Lrp6,Ly6k,Lyn,Macf1,Madcam1,Map2k3,Map3k1,Map3k3,Map4k4,Mapk1,Mapre2,Mark2,Matn2,Maz,Mboat7,Mcoln2,Mctp1,Mdga2,Mdm2,Megf8,Mertk,Mesp2,Mien1,Mkks,Mmp14,Mns1,Mpp1,Msn,Myadm,Myc,Myh10,Myh9,Myo1c,Myo1f,Myo1g,Myo5a,Mysm1,Nbl1,Nck2,Nde1,Ndrg4,Neo1,Net1,Nfe2l2,Nfix,Ninj1,Nipbl,Nod2,Nos3,Nostrin,Notch1,Nox1,Nr4a2,Nr4a3,Nrp1,Nrp2,Nsmf,Ntn1,Ntn4,Ntng2,Ntrk3,Numb,Nup85,P2rx4,Pafah1b1,Pak1,Palld,Pard3,Parva,Pbxip1,Pdcd6,Pde4b,Pde4d,Pdlim1,Pdpk1,Pecam1,Pex13,Pex2,Pfn2,Phlda2,Pik3ca,Pik3cd,Pik3cg,Pik3r1,Pkp2,Plat,Plec,Plekhg3,Plekho1,Plk2,Pltp,Plxna1,Plxna2,Plxnb2,Plxnc1,Plxnd1,Postn,Pou4f1,Pparg,Ppargc1a,Ppib,Ppm1f,Ppp1r9b,Prag1,Prex1,Prkca,Prkcd,Prkcq,Prkcz,Prkd2,Prox1,Psen1,Ptafr,Pten,Ptger3,Ptger4,Ptk2,Ptp4a3,Ptpn22,Ptprj,Pvr,Pycard,Rab11a,Rab1a,Rabgef1,Rac1,Rack1,Rapgef2,Rapgef4,Rasgef1a,Rere,Rffl,Rgcc,Rhbdf1,Rhob,Rhoc,Rhod,Rhof,Rhog,Rigi,Rin2,Rin3,Ripk3,Ripor1,Ripor2,Rnd1,Rnf20,Rnf41,Rnh1,Rock1,Ropn1l,Rpl13a,Rps19,Rps6kb1,Rras,Rras2,Rreb1,Rsph1,Rsph3b,Rsph9,Rtn4,S100a11,S100a2,S1pr1,S1pr2,Sap30,Sdc3,Sdc4,Sdccag8,Sele,Selenok,Sell,Selp,Selplg,Sema3f,Sema4a,Sema4b,Serpine1,Serpinf1,Sfrp2,Sgpl1,Sh2b1,Sh3bp1,Sh3kbp1,Sh3rf1,Shtn1,Sin3a,Slamf1,Slc8b1,Slc9b2,Slirp,Smad3,Smad4,Smurf2,Snai2,Sod2,Sord,Sp1,Sp100,Spata13,Spdl1,Spint2,Spn,Spp1,Spred1,Src,Srgap2,Srgap3,Ssh1,Ssh2,Ssx2ip,St14,St3gal4,Stap1,Stat3,Stat5a,Stat5b,Stk10,Stk26,Stk39,Stk4,Stmn1,Strbp,Suds3,Sun2,Svbp,Swap70,Syde1,Syde2,Syne2,Tbx21,Tbxa2r,Tet1,Tgfb1,Tgfbr1,Tgfbr3,Thbs1,Tiam1,Tirap,Tlr2,Tmem18,Tmigd1,Tmsb10,Tmsb15b1,Tmsb15b2,Tnfaip3,Tnfrsf12a,Tnfrsf18,Tnfsf11,Tnfsf4,Tnp2,Top2b,Tradd,Trf,Trib1,Trp53,Trp53inp1,Trpm4,Tspo,Ttll3,Tubb2b,Tyro3,Ube2b,Ube2i,Ulk1,Ulk4,Usp33,Vav1,Vegfc,Vim,Vsir,Wdr1,Wnk1,Xcl1,Yif1b,Ythdf3,Ywhae,Zc3h12a,Zfp703,Zmiz1,Zranb1,Zswim6"
"4413","GO:0050679","positive regulation of epithelial cell proliferation",210,68,67.88,4760,0.51406,0.51928,"Acvrl1,Adam17,Agap2,Aggf1,Akt1,Ang,Atp7a,Azin1,Bad,Bmpr1a,Bmyc,Cav2,Ccl5,Ccr3,Cdc42,Col18a1,Cyba,Ecm1,Egr3,Erbb2,Esrp2,Foxp1,Grn,Hmgb1,Hmgb2,Hras,Htra1,Il10,Il18,Il6,Irs2,Itga4,Itgb3,Itgb3bp,Jaml,Jcad,Jun,Kif3a,Med1,Myc,Mydgf,Nod2,Notch1,Nr4a3,Nras,Pdcd6,Pdcl3,Pik3cd,Pold4,Ppp1r16b,Prkca,Prkd2,Prox1,Rbpj,Rictor,Rptor,Rreb1,Rtn4,Runx2,Sp1,St8sia1,Stat3,Stat5a,Tcf7l2,Tgfb1,Tnfaip3,Vegfc,Zfp703"
"4414","GO:0006413","translational initiation",120,39,38.79,4758,0.51418,0.51813,"Abce1,Ago2,Bzw2,Eif1ad,Eif2ak2,Eif2ak3,Eif2b3,Eif2d,Eif2s3x,Eif3d,Eif3e,Eif3g,Eif4b,Eif4e2,Eif4ebp1,Eif4g1,Eif4g2,Eif5,Eif5b,Impact,Larp1,Mettl3,Mif4gd,Mknk1,Mtif3,Ncbp1,Nck2,Npm1,Paip2,Pdik1l,Polr2g,Rpl13a,Rps6kb1,Rxra,Sh3bgrl,Slbp,Stk35,Tmed2,Ythdf2"
"4415","GO:0021872","forebrain generation of neurons",61,20,19.72,4754,0.51462,0.51743,"Aspm,Atg7,Atp7a,B2m,Bcl11b,Gnaq,Lef1,Lrp6,Mettl3,Nfix,Nrp1,Nrp2,Plxna1,Prox1,Ptger3,Rapgef2,Ubb,Uqcrq,Zmiz1,Zswim6"
"4416","GO:0039532","negative regulation of cytoplasmic pattern recognition receptor signaling pathway",61,20,19.72,4755,0.51462,0.51743,"Akt1,Aurkb,Csnk1a1,Fbxl2,Gramd4,Ifi206,Ifi208,Ifi213,Itch,Lamp2,Nlrx1,Ptpn22,Ptprs,Rnf125,Sec14l1,Sirt2,Tnfaip3,Trex1,Zdhhc12,Zdhhc18"
"4417","GO:0043903","regulation of biological process involved in symbiotic interaction",61,20,19.72,4756,0.51462,0.51743,"Bsg,Cd74,Exoc2,Fuca2,Furin,Hmgb1,Ifitm2,Itgav,Lgals1,Ltf,Mid2,Mre11a,Nbn,Trim12a,Trim25,Trim26,Trim30c,Trim30d,Trim5,Trim56"
"4418","GO:0044091","membrane biogenesis",61,20,19.72,4757,0.51462,0.51743,"Ank3,Cav2,Cdh2,Chmp2a,Chmp4b,Chmp4c,Clip3,Pacsin2,Pex11a,Pex16,Psap,Pten,Reep3,S100a10,Tlcd1,Tlcd2,Ubxn2a,Ugcg,Vps4a,Zfp750"
"4419","GO:0038127","ERBB signaling pathway",121,49,39.11,1972,0.51519,0.03532,"Adam17,Akt1,Areg,Arf4,Bcar1,Braf,Dab2ip,Dgkd,Dusp3,Erbb2,Erbb3,Errfi1,Fasl,Fer,Gprc5a,Grb2,Hbegf,Hip1,Hip1r,Hras,Iqgap1,Itga1,Lgmn,Mapk1,Mvb12a,Mvb12b,Mvp,Neu3,Nrg4,Plaur,Psen1,Psen2,Ptk2,Ptpn12,Ptprj,Ralb,Rbpj,Rhbdf1,Rnf115,Rtn4,Shkbp1,Snx5,Socs5,Sos1,Src,Tgfb1,Vps25,Zfyve28,Zgpat"
"4420","GO:0009063","amino acid catabolic process",89,29,28.77,4759,0.51571,0.51911,"Acat1,Ahcy,Ahcyl,Aldh4a1,Aldh6a1,Amdhd1,Asrgl1,Atp2b4,Bcat2,Bckdhb,Bckdk,Blmh,Dld,Etfa,Etfb,Gad1,Got2,Hmgcl,Ivd,Mtrr,Nos3,Oat,Oaz1,Ppat,Ppm1k,Sardh,Scly,Shmt1,Thnsl2"
"4421","GO:0051170","import into nucleus",177,76,57.22,985,0.51625,0.0019,"Adar,Akt1,Appl2,Bach2,Bag3,Bmal1,Brca1,Cabp1,Cdk1,Cdkn1a,Cry2,Cse1l,E2f3,Ect2,Efcab7,Ei24,Elavl1,Fam53b,Fam53c,Hcls1,Heatr3,Hikeshi,Htatip2,Il6,Ipo11,Ipo5,Ipo7,Jak2,Jup,Kpna1,Kpna2,Kpna2rt,Kpna3,Kpna4,Kpna6,Kpnb1,Lmna,Mapk1,Mapk14,Mdfic,Med1,Nfkbia,Nolc1,Notch1,Nup107,Nup133,Nup153,Nup188,Nup85,Pik3r1,Pkia,Pkig,Prkcd,Prkcq,Psen1,Ptpn22,Ptpn5,Pttg1ip,Rab23,Ran,Ranbp6,Rangrf,Sqstm1,Stat3,Stk3,Stk4,Sumo1,Tardbp,Tgfb1,Tmco6,Tnfrsf1a,Tnpo1,Tnpo3,Trp53,Txnip,Zc3h12a"
"4422","GO:1905818","regulation of chromosome separation",71,40,22.95,503,0.51645,2.5e-05,"Anapc5,Apc,Atm,Aurkb,Birc5,Bub1,Bub1b,Ccnb1,Ccnb1-ps,Cdc20,Cdc23,Cdca8,Cenpe,Csnk2a2,Fbxo5,Gen1,Incenp,Knl1,Lcmt1,Mad1l1,Mad2l1,Ncapd2,Ncapg,Ncapg2,Ncaph,Ndc80,Nsmce2,Nuf2,Pcid2,Plk1,Smc2,Smc4,Spc24,Spc25,Spdl1,Tex14,Trip13,Ttk,Ube2c,Zwint"
"4423","GO:1904029","regulation of cyclin-dependent protein kinase activity",67,38,21.66,524,0.51652,3.2e-05,"Adam17,Akt1,Apc,Casp3,Ccna2,Ccnb1,Ccnb2,Ccnd3,Ccne2,Ccng1,Ccng2,Ccni,Ccnj,Ccnjl,Cdkn1a,Cdkn1b,Cdkn1c,Cdkn2a,Cdkn2b,Cdkn2c,Cdkn2d,Gtpbp4,Kat2b,Lats2,Mapre3,Pim1,Plk1,Prox1,Psmd10,Psrc1,Pten,Rgcc,Sfn,Stil,Stox1,Tfap4,Tmigd1,Tnfaip3"
"4424","GO:0007548","sex differentiation",266,86,85.99,4771,0.51668,0.52257,"Adam6a,Adam6b,Adgrg1,Adrm1,Ago4,Ahr,Arrb2,Aspm,Atm,Atrx,Axl,Bak1,Bax,Bcl2,Bcl2l1,Bcl2l11,Bcl2l2,Bik,Bmpr1a,Brip1,Cd2ap,Cebpb,Cited2,Dach2,Dhcr24,Dhx37,Dmrt2,Dnajc19,Ermp1,Foxo3,Gas2,Gata1,Gata3,Gja1,Grk2,H3f3b,Hesx1,Hmgb2,Hsd17b4,Icam1,Ing2,Insl3,Insl6,Itgav,Kif18a,Kit,Kitl,Lrp6,Map7,Mertk,Myh9,Nefh,Nipbl,Nos3,Nup107,Nup210l,Pcyt1b,Pde4d,Plekha1,Prdx4,Ptger4,Rac1,Rara,Rec8,Rhobtb3,Runx1,Scaper,Serpinb6a,Serpinb6b,Serpine1,Sfrp2,Sgpl1,Smad4,Smad5,Sod1,Sohlh1,Src,Stat5a,Stat5b,Tcf7,Tcf7l2,Tesc,Tgfbr1,Tyro3,Ubb,Ybx3"
"4425","GO:0035794","positive regulation of mitochondrial membrane permeability",37,20,11.96,1212,0.5174,0.00506,"Atp5if1,Bak1,Bax,Bcl2l1,Bcl2l11,Bid,Bloc1s2,Chchd10,Eya2,Gclc,Gsk3b,Hip1r,Ier3,Rhot1,Siva1,Slc25a4,Slc9a1,Stpg1,Tmem14a,Trp53"
"4426","GO:0051084","'de novo' post-translational protein folding",37,20,11.96,1213,0.5174,0.00506,"Bag1,Cd74,Dnajb13,Dnajb14,Dnajb5,Dnajc7,Entpd5,Ero1a,Hspa13,Hspa1l,Hspa2,Hspa5,Hspa9,Ptges3,Sdf2,Sdf2l1,Selenof,St13,Tor1b,Tor2a"
"4427","GO:0019677","NAD catabolic process",22,14,7.11,1050,0.51753,0.00251,"Aldoa,Art2a,Eno1,Eno1b,Eno2,Eno3,Foxk1,Gapdh,Hk1,Pfkl,Pfkm,Pkm,Sarm1,Tpi1"
"4428","GO:0016074","sno(s)RNA metabolic process",17,11,5.5,1257,0.51767,0.00615,"Dkc1,Exosc10,Exosc2,Exosc3,Exosc5,Fbl,Larp7,Larp7-ps,Nolc1,Parn,Zcchc7"
"4429","GO:1901623","regulation of lymphocyte chemotaxis",18,11,5.82,1434,0.51771,0.01123,"Adam10,Adam17,Ccl5,Ccr2,Ccr7,Cxcl10,Cxcl13,Slc8b1,Stk39,Wnk1,Xcl1"
"4430","GO:0033280","response to vitamin D",15,10,4.85,1280,0.51771,0.00665,"Cdkn2d,Med1,Mn1,Pim1,Rxra,Snai2,Snw1,Spp1,Trim24,Vdr"
"4431","GO:0050803","regulation of synapse structure or activity",294,95,95.04,4773,0.51786,0.52405,"2610042L04Rik,Abhd17a,Abhd17b,Abhd17c,Abi2,Actr2,Actr3,Adam10,Adgre5,Adgrl1,Adgrl2,Adnp,Afdn,Akt1,Amigo2,Arc,Arf4,Arf6,Arhgef15,Asap1,Bhlhb9,C1ql3,Camk2b,Cdc20,Cdc42,Cdh2,Cdk5,Chd4,Cln3,Clstn1,Cntnap1,Colq,Cux2,Cyfip1,Dab2ip,Dag1,Dbn1,Dlg4,Dlg5,Dtnbp1,Eif4g1,Farp1,Fyn,Gsk3b,Hnrnpm,Il10,Il10ra,Ins2,Itgb1,Itsn1,Kalrn,Klk8,Lrfn4,Lzts1,Mapk14,Mark2,Mdga2,Myh10,Nectin1,Nedd4,Nrp2,Ntn1,Ntng2,Ntrk3,Numb,Pafah1b1,Pdlim5,Pgrmc1,Picalm,Pik3r1,Plxnc1,Prkca,Prnp,Psen1,Psen2,Pten,Ptk2,Ptpn13,Ptprs,Rapgef4,Rbmx,Rhob,Rock1,Rps6ka5,Sema3f,Sema4a,Septin11,Sipa1l1,Srgn,Stau2,Tanc1,Tiam1,Tlr2,Vcp,Zdhhc15"
"4432","GO:0061337","cardiac conduction",58,19,18.75,4761,0.51851,0.52126,"Bin1,Cacna1d,Dsg2,Ehd3,Gja1,Jup,Kcnh2,Mef2a,Pde4d,Pkp2,Pln,Rangrf,Scn1b,Scn4b,Slc9a1,Src,Sri,Trpm4,Zmpste24"
"4433","GO:1903307","positive regulation of regulated secretory pathway",58,19,18.75,4762,0.51851,0.52126,"Bcl2l1,Cacna1i,Cd160,Cd177,Cdk5,Fgr,Gata1,Il4ra,Itgam,Kcnb1,Lamp1,Ms4a2,Ptafr,Slc4a8,Sphk2,Stx1a,Stxbp1,Unc13d,Vamp8"
"4434","GO:0010817","regulation of hormone levels",533,172,172.3,4790,0.51931,0.5277,"Aacs,Acsl4,Acvr1c,Adam10,Adh4,Akr1c18,Anxa1,Anxa5,Anxa7,Arhgef7,Atg7,Atp1a1,Atp6ap2,Bad,Baiap3,Bcat2,Bco2,Birc5,Bmal1,C1qtnf12,Cacna1a,Cacna1d,Camk2n1,Ccl5,Cd38,Chst10,Clcf1,Comt,Cpq,Crabp2,Cry2,Ctsb,Ctsl,Cyp11a1,Cyp2d22,Cyp2s1,Dhrs7,Disp1,Dkk3,Ece1,Ednrb,Egr1,Enpp1,Ensa,Ero1b,F2rl2,Fam3b,Fdx1,Foxo1,Fto,Furin,Gata3,Gfi1,Gja1,Gnaq,Gnas,Gpld1,Gpr68,Hadh,Hif1a,Hmga1,Hmgn3,Hsd11b1,Hsd17b11,Hsd17b4,Hsd17b7,Hsp90b1,Ide,Igf1r,Il1rn,Il6,Ildr1,Ins2,Irs2,Itsn1,Jak2,Kalrn,Kcnb1,Kcnn4,Klf7,Lif,Lrp1,Ltbp4,Lyn,Madd,Map4k4,Med1,Mpc2,Myh9,Myo5a,Nadk,Ncoa6,Ndst2,Ndufaf2,Nfkb1,Niban2,Nmb,Nr3c1,Nucb2,Orai1,Osm,Pck2,Pcsk1,Pcsk4,Pde3b,Pfkl,Pfkm,Pim3,Pla2g6,Plekha1,Pparg,Ppargc1a,Prkaca,Prkar1a,Prmt3,Ptbp1,Ptger3,Ptger4,Ptpmt1,Ptprv,Rab11fip1,Rab1a,Rab8b,Rac1,Rapgef4,Rdh12,Rdh14,Rest,Retsat,Rptor,Runx1,Scg5,Scp2,Selenom,Selenot,Sgpl1,Sin3a,Sirt3,Sirt4,Slc16a10,Slc25a22,Slc3a2,Slc7a5,Slc8b1,Slc9b2,Smad4,Snap23,Snx19,Sox4,Spp1,Sri,Star,Stat5b,Stx1a,Tardbp,Tbc1d1,Tcf7l2,Tg,Tiam1,Tm7sf3,Tnfsf11,Trpm4,Trpv6,Tspo,Ube2q1,Ucp2,Uqcc2,Vamp8,Vdr,Wnk4,Yipf5,Zmpste24"
"4435","GO:0046628","positive regulation of insulin receptor signaling pathway",30,10,9.7,4763,0.51946,0.52144,"Adipor1,C1qtnf12,Gnai2,Ide,Ins2,Pak1,Prkcz,Snx5,Sorbs1,Src"
"4436","GO:1900017","positive regulation of cytokine production involved in inflammatory response",30,10,9.7,4764,0.51946,0.52144,"Card9,Gpsm3,Hif1a,Il17ra,Il6,Kpna6,Nod2,Stat3,Ticam1,Ticam2"
"4437","GO:0090077","foam cell differentiation",30,10,9.7,4765,0.51946,0.52144,"Alox8,Csf1,Il18,Itgav,Itgb3,Nfkbia,Pparg,Prkch,Selenok,Soat1"
"4438","GO:0070977","bone maturation",30,10,9.7,4766,0.51946,0.52144,"Actn3,Ano6,Ebp,Enpp1,Ift80,Mbtps2,Rflnb,Snx10,Thbs3,Xylt1"
"4439","GO:0060306","regulation of membrane repolarization",30,10,9.7,4767,0.51946,0.52144,"Akap7,Cacna1d,Gja1,Kcnh2,Nedd4l,Scn1b,Scn4b,Wdr1,Ywhae,Zmpste24"
"4440","GO:0071514","genomic imprinting",30,10,9.7,4768,0.51946,0.52144,"Airn,Cdkn1c,Eed,Gnas,Gnasas1,Gsk3b,Pik3ca,Prmt7,Smchd1,Xist"
"4441","GO:0014887","cardiac muscle adaptation",30,10,9.7,4769,0.51946,0.52144,"Atp2a2,Atp2b4,Errfi1,Ezh2,Foxo1,Inpp5f,Lmna,Pparg,Smad3,Smad4"
"4442","GO:0090504","epiboly",30,10,9.7,4770,0.51946,0.52144,"Acvrl1,Arhgap35,Cd151,Cd44,Hbegf,Megf8,Pard3,Pten,Rreb1,Snai2"
"4443","GO:0015918","sterol transport",114,37,36.85,4772,0.51959,0.52344,"Abca1,Abca2,Acat2,Anxa2,Apoa2,Arl8b,Arv1,Cd320,Commd1,Comt,Furin,Gramd1b,Gramd1c,Irak1,Ldlr,Ldlrap1,Lima1,Lipa,Lrp1,Lrp6,Naxe,Nfkbia,Pip4k2a,Pltp,Pparg,Ptch1,Scp2,Sec24a,Soat1,Srebf2,Star,Stard3nl,Stard4,Ttc39b,Vps4a,Vps51,Vps54"
"4444","GO:0009314","response to radiation",417,153,134.8,1882,0.52025,0.03141,"Abraxas1,Aen,Aipl1,Akt1,Akt2,Ap1s2,Apobec1,Atm,Atp1a3,Atp8a2,Atxn1,Aurkb,Bak1,Bard1,Bax,Bbc3,Bcl2,Bcl2l1,Bhlhe40,Bmf,Bmyc,Braf,Brca1,Cabp4,Cacna2d4,Cacnb4,Casp3,Casp7,Cdk5,Cdkn1a,Cdkn2d,Cep250,Comt,Cop1,Cops9,Crebbp,Crip1,Cry2,Drd3,Dtl,Dynlrb1,Ect2,Egr1,Ei24,Ercc2,Fancd2,Fbxl17,Fbxo4,Fignl1,Gata3,Gnb5,Gpx1,Grb2,Gtf2h5,Guca1a,Guca1b,H2ac25,Hif1a,Hmgn1,Hras,Hsf1,Id2,Ifi206,Ifi208,Ifi213,Ift20,Ino80,Itgb1,Kars1,Kit,Kmt2a,Kras,Map3k20,Map3k4,Map4k3,Mapk11,Mapk14,Mbd4,Mdm2,Mettl3,Myc,N4bp1,Nabp1,Nabp2,Ndrg4,Nedd4,Net1,Nipbl,Nlrp1a,Nlrp1b,Npm1,Nptn,Nsmce3,Pbk,Pclaf,Pcna,Pde6d,Per1,Per3,Pik3r1,Plk3,Pmaip1,Pold3,Polk,Pparg,Ppp1ca,Ppp1cc,Prkaa1,Prkcd,Rad1,Rad51,Rad54b,Rad54l,Rbm4b,Rev1,Rgs9,Rhbdd1,Rhob,Rom1,Rpgr,Ruvbl2,Sdf4,Sfrp2,Sgk1,Slc1a3,Snai2,Sod2,Stk11,Swi5,Synpo,Tanc1,Tank,Tgfb1,Ticrr,Tmem109,Tmem161a,Trex1,Trp53,Trp53inp1,Trpm1,Tulp1,Txn1,Tyr,Ube2b,Usp2,Usp28,Uvssa,Xpa,Xpc,Xrcc6,Yy1,Zbtb1,Zmpste24"
"4445","GO:0034341","response to type II interferon",141,65,45.58,751,0.52111,0.00043,"Actg1,Actr2,Actr3,Calm1,Camk2a,Capg,Casp1,Ccl17,Ccl20,Ccl4,Ccl5,Ccl6,Ccl9,Cd47,Cd74,Cdc37,Cdc42,Cdc42ep4,Dapk1,Dapk3,Daxx,Eprs1,Evl,Flnb,Gapdh,Gapdh-ps15,Gapdhrt2,Gbp10,Gbp2b,Gbp3,Gbp6,Gbp7,Gch1,H2-Q7,Ifitm2,Ifngr1,Il12rb1,Il23r,Jak1,Jak2,Med1,Myo1c,Pparg,Rab20,Rab43,Rpl13a,Rps6kb1,Slc11a1,Slc22a21,Slc22a5,Slc26a6,Sp100,Stx11,Stx8,Stxbp1,Tgtp1,Tlr2,Trp53,Txk,Tyk2,Vamp4,Vamp8,Vim,Xcl1,Zyx"
